name,email,phone,address,height,weight,membershipType,startDate,paymentMethod,yoga,cardio,aerobics,physicalFitness,fatLoss,freeHand,muscleBuilding,endurance,surgeries,medication,accidents
John Doe,john.doe1@example.com,123-456-7890,123 Fitness St,180 cm,75 kg,106,2024-09-25,Credit Card,true,false,true,true,false,false,true,true,Appendix surgery in 2020,None,Car accident in 2018
Jane Smith,jane.smith2@example.com,987-654-3210,456 Wellness Ave,165 cm,68 kg,70,2023-08-14,Debit Card,false,true,false,true,true,false,false,true,None,None,None
Alice Johnson,alice.johnson3@example.com,555-123-4567,789 Health Blvd,170 cm,65 kg,180,2024-06-12,PayPal,true,true,false,false,true,false,true,false,Knee surgery in 2021,Insulin,None
Bob Brown,bob.brown4@example.com,555-987-6543,234 Workout Rd,175 cm,80 kg,106,2024-03-10,Cash,false,false,true,true,false,true,false,true,None,None,Back injury in 2019
Emma Davis,emma.davis5@example.com,555-456-7890,567 Training Ln,160 cm,55 kg,70,2024-01-20,Credit Card,true,true,true,false,true,true,true,false,None,Antibiotics,Ankle sprain in 2020
Michael Wilson,michael.wilson6@example.com,555-321-6540,890 Sport St,182 cm,90 kg,180,2024-02-15,Debit Card,false,false,false,true,false,false,false,true,None,None,Leg fracture in 2022
Olivia Martinez,olivia.martinez7@example.com,555-654-3210,345 Fitness Dr,158 cm,52 kg,106,2024-07-30,Cash,true,true,false,true,true,false,true,false,Heart surgery in 2019,None,No accidents
William Garcia,william.garcia8@example.com,555-789-0123,678 Exercise Ave,177 cm,78 kg,70,2024-05-05,Credit Card,false,true,true,false,false,true,false,true,None,High blood pressure,None
Sophia Lopez,sophia.lopez9@example.com,555-123-4560,135 Active St,165 cm,64 kg,180,2024-08-22,PayPal,true,false,true,true,true,false,true,false,Appendectomy in 2020,None,No accidents
James Wilson,james.wilson10@example.com,555-654-9870,246 Body Ln,190 cm,90 kg,106,2024-09-11,Cash,false,false,true,false,false,true,true,true,None,Cholesterol medication,No accidents
Liam Martinez,liam.martinez11@example.com,555-987-1234,357 Strength St,170 cm,73 kg,70,2024-04-17,Credit Card,true,true,false,false,true,false,false,true,None,None,No accidents
Isabella Anderson,isabella.anderson12@example.com,555-321-7890,468 Run Rd,168 cm,62 kg,180,2024-03-29,Debit Card,false,true,true,true,false,true,false,true,No surgeries,None,None
Benjamin Thomas,benjamin.thomas13@example.com,555-654-2345,579 Fit St,175 cm,82 kg,106,2024-02-05,Cash,true,false,true,false,true,false,true,true,None,None,No accidents
Mia Jackson,mia.jackson14@example.com,555-987-4560,680 Move Blvd,160 cm,50 kg,70,2024-06-15,Credit Card,false,true,false,true,true,false,true,false,No surgeries,None,Car accident in 2021
Lucas White,lucas.white15@example.com,555-123-6789,791 Health St,185 cm,85 kg,180,2024-07-21,PayPal,true,false,true,false,true,true,false,true,None,None,No accidents
Charlotte Harris,charlotte.harris16@example.com,555-456-7891,902 Workout Way,172 cm,70 kg,106,2024-09-15,Cash,false,true,true,true,false,true,false,false,None,Medication for anxiety,None
Ethan Clark,ethan.clark17@example.com,555-678-9012,345 Training St,178 cm,76 kg,70,2024-08-10,Credit Card,true,false,false,false,true,true,false,true,Knee surgery in 2020,No medication,No accidents
Amelia Lewis,amelia.lewis18@example.com,555-890-1234,789 Fit St,165 cm,57 kg,180,2024-01-18,Debit Card,false,true,true,true,true,false,false,true,None,Medication for pain,None
Henry Walker,henry.walker19@example.com,555-234-5678,123 Exercise Ave,180 cm,85 kg,106,2024-06-25,Cash,true,false,true,false,true,true,false,false,No surgeries,None,None
Ella Young,ella.young20@example.com,555-456-7892,456 Sport Blvd,175 cm,64 kg,70,2024-03-30,Credit Card,false,true,true,true,false,false,true,false,None,Medication for hypertension,None
